Marca temporal,Scouter,Match,Team,Autonomous Cubos [AutoCubo3],Autonomous Cubos [AutoCubo2],Autonomous Cubos [AutoCubo1],Autonomous Conos [AutoCono3],Autonomous Conos [AutoCono2],Autonomous Conos [AutCono1],Auto Mobility: Left Community,Auto Charge station,Auto Comentarios Extra,Teleop Cubos [TOCubo3],Teleop Cubos [TOCubo2],Teleop Cubos [TOCubo1],Teleop Conos [TOCono3],Teleop Conos [TOCono2],Teleop Conos [TOCono1],Teleop Charge Station,Teleop Park,Disconnection Time ,Defensive Rank,TeleOp Comentarios Extras,Aliance
21/10/2023 14:12:42,sofy,23,589,0,0,1,0,0,0,Si,Nothing,,0,0,4,0,0,0,Engaged,Si,0,2,,Red
21/10/2023 14:12:44,leah,23,4079,0,0,0,0,0,0,Si,Engaged (Balanced),,0,0,1,0,0,1,Engaged,Si,0,1,,Blue
21/10/2023 14:12:46,mangie,23,4415,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Engaged,Si,90,2,más esquizofrenico que yo,Red
21/10/2023 14:12:48,Rebeca,23,7102,1,0,0,0,0,0,Si,Nothing,,0,0,0,0,0,2,Engaged,Si,0,2,,Blue
21/10/2023 14:12:55,karla,23,3128,0,0,0,1,0,0,No,Nothing,,1,1,0,3,0,0,Nothing,No,0,3,,Red
21/10/2023 14:13:06,clarisa,23,7415,0,0,0,0,0,0,Si,Nothing,,0,0,2,0,0,0,Nothing,Si,60,2,,Blue
21/10/2023 15:15:03,Rebeca,24,696.2,0,0,0,0,0,0,No,Nothing,,0,0,1,0,0,0,Nothing,No,100,2,,Blue
21/10/2023 15:15:09,karla,24,4322,0,0,0,1,0,0,Si,Nothing,,0,0,1,1,1,0,Engaged,No,0,3,,Red
21/10/2023 15:15:12,mangie,24,4414,0,0,1,1,0,0,Si,Engaged (Balanced),,1,1,2,3,2,1,Engaged,Si,0,3,,Red
21/10/2023 15:15:14,sofy,24,5199.2,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Engaged,Si,0,1,,Red
21/10/2023 15:15:15,leah,24,3512,1,0,0,1,0,0,Si,Nothing,,0,1,0,1,0,0,Nothing,Si,0,2,,Blue
21/10/2023 15:15:56,clarisa,24,2659,0,0,0,1,0,0,No,Engaged (Balanced),,2,0,0,2,2,1,"Docked  (Not touching the ground, CS not Balanced)",No,0,2,,Blue
21/10/2023 15:23:34,mangie,25,5124,0,0,0,0,0,0,No,Nothing,,0,0,4,0,0,0,Engaged,Si,0,2,,Red
21/10/2023 15:23:40,leah,25,9282,0,0,0,0,0,0,Si,Nothing,,0,0,0,0,0,0,Engaged,Si,0,2,,Blue
21/10/2023 15:23:42,sofy,25,8006,0,0,0,0,0,0,No,"Docked (Not touching the ground, but not balanced)",,0,0,5,0,0,0,Engaged,Si,0,2,,Red
21/10/2023 15:23:58,clarisa,25,8006.2,0,0,0,0,0,0,Si,Nothing,,0,0,0,0,0,0,Nothing,No,110,2,,Blue
21/10/2023 15:24:03,karla,25,3925,0,0,1,0,0,0,No,Engaged (Balanced),,0,0,1,0,0,0,Nothing,Si,11,3,,Red
21/10/2023 15:24:04,Rebeca,25,5887,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Nothing,No,120,2,No hizo nada ,Blue
21/10/2023 15:30:26,karla,26,1148.2,0,0,0,0,0,0,Si,Nothing,,0,0,0,0,1,0,Nothing,No,0,3,Se les volteo el robot y se le salio la bateria ,Red
21/10/2023 15:30:46,leah,26,7157,0,1,0,1,0,0,Si,Nothing,,0,0,0,4,0,0,Engaged,Si,0,3,,Blue
21/10/2023 15:30:48,sofy,26,599,0,0,0,0,0,1,Si,Nothing,,0,0,3,0,1,2,Engaged,Si,0,2,,Red
21/10/2023 15:30:49,mangie,26,4414.2,0,0,1,1,0,0,Si,Nothing,,2,3,3,0,0,0,Engaged,Si,0,2,,Red
21/10/2023 15:30:50,Rebeca,25,5887,1,0,0,0,0,0,No,Nothing,,0,0,0,0,0,1,Nothing,No,30,2,,Blue
21/10/2023 15:31:30,clarisa,25,4276,1,0,0,0,0,0,Si,Nothing,,1,0,2,0,0,0,Nothing,Si,30,2,,Blue
21/10/2023 15:38:17,karla,27,4,0,0,0,0,1,0,Si,Nothing,,0,1,2,0,0,0,Nothing,No,0,2,,Red
21/10/2023 15:38:23,Rebeca,27,3863,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Nothing,No,0,3,,Blue
21/10/2023 15:38:24,sofy,27,3128.2,0,0,0,1,0,0,No,Nothing,,0,0,0,1,0,0,Engaged,Si,0,3,,Red
21/10/2023 15:38:25,leah,27,973,0,0,0,0,0,0,Si,Engaged (Balanced),,1,0,0,2,1,0,"Docked  (Not touching the ground, CS not Balanced)",Si,0,3,,Blue
